Tokyo500yesrs,10:00,10:18
004_shunbun,10:18,10:24
soundscape,10:24,10:40
Tokyo500yesrs,10:40,10:58
004_shunbun,10:58,11:04
soundscape,11:04,11:20
Tokyo500yesrs,11:20,11:38
004_shunbun,11:38,11:44
soundscape,11:44,12:00
Tokyo500yesrs,12:00,12:18
004_shunbun,12:18,12:24
soundscape,12:24,12:40
Tokyo500yesrs,12:40,12:58
004_shunbun,12:58,13:04
soundscape,13:04,13:20
Tokyo500yesrs,13:20,13:38
004_shunbun,13:38,13:44
soundscape,13:44,14:00
Tokyo500yesrs,14:00,14:18
004_shunbun,14:18,14:24
soundscape,14:24,14:40
Tokyo500yesrs,14:40,14:58
004_shunbun,14:58,15:04
soundscape,15:04,15:20
Tokyo500yesrs,15:20,15:38
004_shunbun,15:38,15:44
soundscape,15:44,16:00
Tokyo500yesrs,16:00,16:18
004_shunbun,16:18,16:24
soundscape,16:24,16:40
Tokyo500yesrs,16:40,16:58
004_shunbun,16:58,17:04
soundscape,17:04,17:20
Tokyo500yesrs,17:20,17:38
004_shunbun,17:38,17:44
soundscape,17:44,18:00
Tokyo500yesrs,18:00,18:18
004_shunbun,18:18,18:24
soundscape,18:24,18:40
Tokyo500yesrs,18:40,18:58
004_shunbun,18:58,19:04
soundscape,19:04,19:20
Tokyo500yesrs,19:20,19:38
004_shunbun,19:38,19:44
soundscape,19:44,20:00
Tokyo500yesrs,20:00,20:18
004_shunbun,20:18,20:24
soundscape,20:24,20:40
Tokyo500yesrs,20:40,20:58
004_shunbun,20:58,21:04
soundscape,21:04,21:20
Tokyo500yesrs,21:20,21:38
004_shunbun,21:38,21:44
soundscape,21:44,22:00
Tokyo500yesrs,22:00,22:18
004_shunbun,22:18,22:24
soundscape,22:24,22:40
Tokyo500yesrs,22:40,22:58
004_shunbun,22:58,23:04
soundscape,23:04,23:20
Tokyo500yesrs,23:20,23:38
004_shunbun,23:38,23:44
soundscape,23:44,24:00
